Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000089847,-0.440826869414874,4.37841566987734,14.3708585300847,0.000150107508491941,0.000486361800139933
ENSMUSG00000101906,0.730780248007126,2.2771729366021,14.3657282427153,0.00015051706519288,0.00048756724308242
ENSMUSG00000026074,-0.400430617764629,6.69528142655378,14.3643876028544,0.000150624275321838,0.000487792943454426
ENSMUSG00000032875,1.42713851531554,0.324213685438807,14.3616845713196,0.00015084066893205,0.000488372031250851
ENSMUSG00000031995,-1.21615022053058,0.635022220316171,14.3570372777681,0.000151213444226706,0.000489457016480765
ENSMUSG00000069808,-0.682826898161326,4.22147549363099,14.3530321392534,0.00015153545424667,0.000490377182118954
ENSMUSG00000032076,1.18950302763651,0.923333593192423,14.3450033488736,0.000152183043781381,0.000492264490808169
ENSMUSG00000022772,0.422362227018953,5.29176972519603,14.344862574905,0.000152194423212313,0.000492264490808169
ENSMUSG00000036478,0.71421175077043,8.37254515922718,14.344015136443,0.000152262943809342,0.000492363577443695
ENSMUSG00000039474,-0.646515299507724,2.80423750747101,14.3359402307172,0.000152917409734482,0.000494356879828192
ENSMUSG00000001918,-0.346414117840488,6.40877781939693,14.3337607438828,0.000153094540713889,0.000494806429027035
ENSMUSG00000026970,0.320367008643711,8.03436501423296,14.3310181099394,0.000153317733334488,0.000495404590356791
ENSMUSG00000028041,0.35982588156627,6.58917385383351,14.329209547984,0.000153465091420911,0.000495757476536455
ENSMUSG00000026048,0.41651139509539,4.46992007174823,14.3284541596279,0.000153526681201743,0.000495823245280797
ENSMUSG00000050370,1.6167448172052,5.78409904388602,14.3280241271202,0.000153561754559496,0.000495823245280797
ENSMUSG00000002111,0.311528537147876,8.90523902394328,14.3172229119564,0.000154445350727728,0.000498552354212009
ENSMUSG00000102976,0.455770209180731,4.29696507419862,14.3133736702062,0.000154761474825282,0.000499448752627109
ENSMUSG00000017781,0.31288718883529,9.23371472482033,14.3059486825333,0.00015537310368859,0.000501298126995261
